year,bw_method,aate,se,p_value,ci_lower,ci_upper,n_pts_ok,h_median,h_min,h_max,Nh0_median,Nh1_median,elapsed_sec
1850,simplified,-0.13841864003517315,0.05203973397540234,0.007817209779018093,-0.24041464439200713,-0.03642263567833917,100,282252.2513181464,224777.31897857715,418773.79188403126,71,74,3.155690908432007
1850,full,-0.16521083248701887,0.05144296942409003,0.001320284614495593,-0.2660371998160305,-0.06438446515800722,100,296200.5523477107,223303.23710873953,450321.9495815082,93,89.5,3.842013120651245
1860,simplified,-0.08609153591752068,0.04550598969114246,0.05850795469433211,-0.17528163679301084,0.0030985649579694935,100,301249.46267367323,215706.36204084088,458376.7390924076,73,78,2.325922966003418
1860,full,-0.07887187813140115,0.04564032724067207,0.08396704311771758,-0.16832527576574072,0.010581519502938425,100,345604.8851713242,254812.45887620287,463126.2195985062,103.5,127.5,3.9677131175994873
1870,simplified,-0.3186489431595474,0.04780418436663088,2.6338464007599704e-11,-0.4123434228284566,-0.2249544634906382,100,299486.36674691876,233364.03724754785,481279.9764012957,73.5,79.5,2.354811906814575
1870,full,-0.2811431628711446,0.04802427435427154,4.793442199400356e-9,-0.37526901098918736,-0.18701731475310185,100,347281.9599901036,261333.78952866912,459326.482267703,105.5,123.5,3.7640271186828613
1880,simplified,-0.21201867408955322,0.038318831397509454,3.147722975691562e-8,-0.28712220355833434,-0.1369151446207721,100,294259.84761853353,204350.70324113153,473627.6554664831,68.5,80,2.326974868774414
1880,full,-0.1699653692265036,0.039197712332854656,1.4503014326321642e-5,-0.24679147367526022,-0.09313926477774699,100,349026.05519942887,265770.5434879007,493104.53108680085,108.5,132.5,3.869086980819702
1890,simplified,-0.1376515964684083,0.04021652871256531,6.198838220141974e-4,-0.21647454432825727,-0.058828648608559325,100,339894.6228414127,213224.77313507302,643590.6099861951,94.5,117,2.875236988067627
1890,full,-0.09068240791865993,0.040618296830015756,0.02557858681733228,-0.17029280681884823,-0.01107200901847162,100,413750.12624314876,256503.84101800845,654531.797004839,136.5,180.5,4.350236892700195
1900,simplified,-0.11154433017895655,0.04090995147394646,0.006399408353524575,-0.19172636167717289,-0.03136229868074021,100,353253.07690491574,238923.65718076722,642518.9932402824,102,119.5,2.330387830734253
1900,full,-0.07042360403521115,0.03938083607390014,0.07373230881908459,-0.14760862442113115,0.006761416350708843,100,435354.78894027614,255712.99963953096,748130.9505876896,141.5,181.5,4.268315076828003
